Prev Time,Curr Time,Frame Dur,FrameRate,
112.257171,112.273849,0.01668,59.959076,
112.273849,112.290472,0.01662,60.158064,
112.290472,112.307231,0.01676,59.667617,
112.307231,112.324264,0.01703,58.712540,
112.324264,112.340872,0.01661,60.211506,
112.340872,112.357196,0.01632,61.257284,
112.357196,112.374225,0.01703,58.724704,
112.374225,112.390454,0.01623,61.616838,
112.390454,112.407124,0.01667,59.987917,
112.407124,112.423819,0.01669,59.900327,
112.423819,112.440663,0.01684,59.366541,
112.440663,112.457322,0.01666,60.027185,
112.457322,112.473948,0.01663,60.148780,
112.473948,112.490497,0.01655,60.427397,
112.490497,112.507596,0.01710,58.481271,
112.507596,112.523983,0.01639,61.024681,
112.523983,112.546417,0.02243,44.575832,
112.546417,112.557272,0.01086,92.120313,
112.557272,112.573884,0.01661,60.198718,
112.573884,112.590534,0.01665,60.059562,
112.590534,112.607194,0.01666,60.023718,
112.607194,112.623812,0.01662,60.173158,
112.623812,112.640477,0.01666,60.007545,
112.640477,112.657166,0.01669,59.919897,
112.657166,112.673815,0.01665,60.064190,
112.673815,112.690474,0.01666,60.028341,
112.690474,112.707389,0.01692,59.117769,
112.707389,112.724486,0.01710,58.490048,
112.724486,112.741350,0.01686,59.296539,
112.741350,112.757349,0.01600,62.506255,
112.757349,112.774311,0.01696,58.953447,
112.774311,112.790769,0.01646,60.760665,
112.790769,112.807338,0.01657,60.353704,
112.807338,112.823941,0.01660,60.232444,
112.823941,112.840794,0.01685,59.336036,
112.840794,112.857615,0.01682,59.450309,
112.857615,112.873916,0.01630,61.342856,
112.873916,112.890650,0.01673,59.759109,
112.890650,112.907480,0.01683,59.417453,
112.907480,112.924182,0.01670,59.873869,
112.924182,112.940862,0.01668,59.952158,
112.940862,112.957396,0.01653,60.482492,
112.957396,112.974051,0.01665,60.042213,
112.974051,112.990703,0.01665,60.050308,
112.990703,113.007318,0.01661,60.189421,
113.007318,113.024003,0.01669,59.931415,
113.024003,113.040685,0.01668,59.947548,
113.040685,113.057264,0.01658,60.315174,
113.057264,113.074260,0.01700,58.836633,
113.074260,113.090547,0.01629,61.402052,
113.090547,113.107605,0.01706,58.620915,
113.107605,113.124415,0.01681,59.487741,
113.124415,113.140606,0.01619,61.765759,
113.140606,113.157408,0.01680,59.516130,
113.157408,113.174003,0.01660,60.258055,
113.174003,113.190986,0.01698,58.883303,
113.190986,113.207651,0.01666,60.006390,
113.207651,113.223950,0.01630,61.352513,
113.223950,113.241246,0.01730,57.815417,
113.241246,113.257511,0.01626,61.483179,
113.257511,113.273841,0.01633,61.238034,
113.273841,113.290551,0.01671,59.842841,
113.290551,113.307223,0.01667,59.982147,
113.307223,113.323891,0.01667,59.994843,
113.323891,113.340854,0.01696,58.952332,
113.340854,113.357218,0.01636,61.108406,
113.357218,113.374470,0.01725,57.964825,
113.374470,113.390726,0.01626,61.514719,
113.390726,113.407248,0.01652,60.525936,
113.407248,113.423911,0.01666,60.014475,
113.423911,113.440513,0.01660,60.232444,
113.440513,113.457206,0.01669,59.904930,
113.457206,113.473878,0.01667,59.982147,
113.473878,113.490610,0.01673,59.765982,
113.490610,113.507212,0.01660,60.233608,
113.507212,113.523893,0.01668,59.947548,
113.523893,113.540559,0.01667,60.001771,
113.540559,113.557271,0.01671,59.837098,
113.557271,113.574349,0.01708,58.554859,
113.574349,113.590656,0.01631,61.325964,
113.590656,113.607275,0.01662,60.170835,
113.607275,113.623911,0.01664,60.110511,
113.623911,113.640575,0.01666,60.009855,
113.640575,113.657310,0.01674,59.753383,
113.657310,113.674195,0.01688,59.225576,
113.674195,113.691033,0.01684,59.388026,
113.691033,113.707714,0.01668,59.949853,
113.707714,113.724146,0.01643,60.856730,
113.724146,113.740718,0.01657,60.343191,
113.740718,113.757746,0.01703,58.724704,
113.757746,113.774097,0.01635,61.158752,
113.774097,113.791129,0.01703,58.715857,
113.791129,113.807752,0.01662,60.155743,
113.807752,113.824047,0.01630,61.367004,
113.824047,113.840655,0.01661,60.214995,
113.840655,113.857327,0.01667,59.978685,
113.857327,113.874009,0.01668,59.946395,
113.874009,113.890664,0.01666,60.041057,
113.890664,113.907213,0.01655,60.426226,
113.907213,113.923917,0.01670,59.866971,
113.923917,113.940584,0.01667,59.999461,
113.940584,113.957482,0.01690,59.177239,
113.957482,113.974245,0.01676,59.655059,
